Building Type,New Building,Elevator,Number of Floors,Total Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Price,District
Panel,No,Available,9,79.0,3.0,1.0,2.75,2.0,Multiple Balconies,Partially Furnished,Cosmetic Renovation,118000.0,Davtashen
Panel,No,Available,9,75.0,3.0,1.0,2.75,5.0,Closed Balcony,Not Available,Cosmetic Renovation,155000.0,Kentron
Panel,No,Available,9,130.0,4.0,2.0,2.75,1.0,Not Available,Partially Furnished,Capital Renovated,130000.0,Malatia-Sebastia
Panel,No,Available,9,82.0,3.0,2.0,2.75,9.0,Multiple Balconies,Partially Furnished,Euro Renovation,120000.0,Malatia-Sebastia
Monolith,Yes,Available,18,74.0,3.0,1.0,3.0,11.0,Open Balcony,Available,Designer Renovated,159000.0,Davtashen
Panel,No,Available,14,70.0,3.0,1.0,2.75,1.0,Not Available,Available,Cosmetic Renovation,105000.0,Arabkir
Panel,No,Available,9,96.0,3.0,1.0,2.75,8.0,Open Balcony,Available,Old Renovation,195000.0,Kentron
Panel,No,Available,14,82.0,3.0,1.0,2.8,7.0,Not Available,Partially Furnished,Partially Renovated,88311.69,Avan
Panel,No,Not Available,5,80.0,3.0,1.0,2.8,5.0,Multiple Balconies,Partially Furnished,Partially Renovated,90909.09,Qanaqer-Zeytun
Stone,No,Not Available,4,86.0,4.0,2.0,2.8,1.0,Closed Balcony,Available,Capital Renovated,155000.0,Arabkir
Panel,No,Available,14,120.0,4.0,2.0,2.75,5.0,Open Balcony,Partially Furnished,Capital Renovated,155000.0,Avan
Stone,No,Not Available,5,85.0,3.0,1.0,2.7,3.0,Closed Balcony,Not Available,Old Renovation,95000.0,Avan
Panel,Yes,Available,10,85.0,3.0,1.0,3.0,3.0,Closed Balcony,Available,Capital Renovated,163000.0,Arabkir
Panel,No,Available,9,68.0,2.0,2.0,2.75,9.0,Not Available,Not Available,Capital Renovated,115000.0,Kentron
Stone,No,Not Available,5,85.0,3.0,1.0,2.75,1.0,Not Available,Available,Capital Renovated,150000.0,Arabkir
Monolith,Yes,Available,11,64.0,3.0,2.0,3.0,2.0,Not Available,Available,Capital Renovated,120000.0,Davtashen
Stone,No,Not Available,5,32.0,2.0,1.0,2.75,5.0,Open Balcony,Available,Designer Renovated,75000.0,Arabkir
Panel,No,Available,12,87.0,3.0,2.0,3.0,9.0,Closed Balcony,Available,Capital Renovated,125000.0,Ajapnyak
Monolith,No,Available,9,78.0,4.0,1.0,3.0,7.0,Closed Balcony,Not Available,Capital Renovated,115000.0,Shengavit
Stone,No,Not Available,5,78.0,4.0,2.0,2.75,5.0,Open Balcony,Partially Furnished,Euro Renovation,140000.0,Arabkir
Panel,No,Available,9,82.0,3.0,1.0,2.7,9.0,Open Balcony,Available,Partially Renovated,117000.0,Ajapnyak
Stone,No,Not Available,5,35.0,2.0,1.0,2.8,4.0,Not Available,Available,Capital Renovated,145000.0,Kentron
Monolith,Yes,Available,6,80.0,2.0,2.0,3.5,5.0,Open Balcony,Available,Euro Renovation,220000.0,Kentron
Stone,No,Not Available,5,72.0,2.0,1.0,2.8,4.0,Open Balcony,Partially Furnished,Cosmetic Renovation,140000.0,Arabkir
Panel,No,Available,9,85.0,3.0,2.0,2.8,9.0,Closed Balcony,Available,Capital Renovated,140000.0,Arabkir
Monolith,Yes,Available,12,50.0,2.0,1.0,3.0,6.0,Not Available,Partially Furnished,Euro Renovation,155000.0,Kentron
Panel,No,Available,10,71.0,2.0,1.0,2.75,3.0,Open Balcony,Available,Cosmetic Renovation,135000.0,Kentron
Monolith,Yes,Available,12,45.0,2.0,1.0,2.7,4.0,Not Available,Available,Capital Renovated,110000.0,Ajapnyak
Panel,No,Available,9,62.0,2.0,1.0,2.75,4.0,Closed Balcony,Available,Capital Renovated,130000.0,Arabkir
Monolith,Yes,Available,9,45.0,2.0,1.0,3.0,7.0,Open Balcony,Available,Euro Renovation,129000.0,Arabkir
Panel,No,Available,9,62.0,2.0,1.0,2.75,9.0,Not Available,Available,Cosmetic Renovation,87000.0,Arabkir
Monolith,Yes,Available,6,70.0,2.0,1.0,3.0,4.0,Open Balcony,Available,Designer Renovated,225000.0,Arabkir
Monolith,Yes,Available,20,69.0,2.0,1.0,2.8,14.0,Open Balcony,Not Available,Not Renovated,128000.0,Arabkir
Monolith,Yes,Available,15,92.0,3.0,1.0,3.0,5.0,Open Balcony,Available,Capital Renovated,208000.0,Arabkir
Monolith,Yes,Available,8,55.0,2.0,1.0,2.7,2.0,Closed Balcony,Not Available,Cosmetic Renovation,111000.0,Arabkir
Stone,No,Not Available,5,82.0,3.0,1.0,2.7,3.0,Open Balcony,Not Available,Capital Renovated,160000.0,Arabkir
Panel,No,Available,9,77.0,3.0,1.0,2.7,3.0,Open Balcony,Partially Furnished,Cosmetic Renovation,140000.0,Kentron
Stone,No,Not Available,5,78.0,3.0,1.0,2.75,5.0,Open Balcony,Available,Old Renovation,122000.0,Arabkir
Panel,No,Available,10,38.0,2.0,1.0,2.75,2.0,Not Available,Available,Euro Renovation,120000.0,Kentron
Panel,No,Available,9,82.0,3.0,2.0,2.75,5.0,Multiple Balconies,Not Available,Partially Renovated,95000.0,Malatia-Sebastia
Panel,No,Available,9,76.0,3.0,1.0,2.7,3.0,Open Balcony,Available,Designer Renovated,150000.0,Arabkir
Monolith,No,Available,16,75.0,3.0,2.0,2.75,7.0,Not Available,Partially Furnished,Old Renovation,85000.0,Ajapnyak
Panel,No,Available,16,45.0,2.0,1.0,2.75,10.0,Closed Balcony,Partially Furnished,Capital Renovated,65000.0,Ajapnyak
Panel,No,Available,9,90.0,4.0,1.0,2.8,7.0,Open Balcony,Available,Designer Renovated,153000.0,Malatia-Sebastia
Panel,No,Available,9,48.0,2.0,1.0,2.75,3.0,Not Available,Not Available,Old Renovation,75000.0,Arabkir
Stone,No,Not Available,5,88.0,3.0,2.0,3.0,5.0,Not Available,Available,Capital Renovated,165000.0,Kentron
Panel,No,Not Available,4,73.0,3.0,1.0,3.0,3.0,Multiple Balconies,Not Available,Not Renovated,76000.0,Qanaqer-Zeytun
Panel,No,Available,9,75.0,3.0,1.0,2.75,7.0,Multiple Balconies,Available,Capital Renovated,130000.0,Malatia-Sebastia
Panel,No,Available,9,72.0,2.0,1.0,2.7,8.0,Multiple Balconies,Available,Cosmetic Renovation,75000.0,Shengavit
Panel,No,Available,14,80.0,3.0,2.0,2.75,6.0,Closed Balcony,Partially Furnished,Capital Renovated,112000.0,Avan
Stone,No,Available,8,94.0,3.0,2.0,2.7,6.0,Open Balcony,Available,Capital Renovated,170000.0,Arabkir
Panel,No,Not Available,4,54.0,2.0,1.0,2.5,4.0,Not Available,Available,Capital Renovated,70500.0,Shengavit
Panel,No,Available,9,67.0,2.0,1.0,2.75,3.0,Closed Balcony,Available,Capital Renovated,100000.0,Malatia-Sebastia
Stone,No,Not Available,5,80.0,4.0,1.0,2.8,1.0,Multiple Balconies,Available,Capital Renovated,82000.0,Shengavit
Panel,No,Available,9,80.0,4.0,1.0,2.8,3.0,Not Available,Available,Euro Renovation,95000.0,Qanaqer-Zeytun
Monolith,Yes,Available,6,115.0,3.0,2.0,3.0,3.0,Multiple Balconies,Available,Capital Renovated,246753.25,Nor Norq
Monolith,Yes,Available,16,51.0,2.0,1.0,3.0,4.0,Open Balcony,Not Available,Capital Renovated,175000.0,Kentron
Panel,No,Available,9,74.0,4.0,1.0,2.8,8.0,Closed Balcony,Available,Capital Renovated,110000.0,Avan
Monolith,Yes,Available,16,62.0,2.0,1.0,3.0,9.0,Open Balcony,Not Available,Not Renovated,82000.0,Qanaqer-Zeytun
Panel,No,Available,11,95.0,3.0,1.0,2.75,5.0,Open Balcony,Available,Euro Renovation,225000.0,Kentron
Panel,No,Available,9,95.0,4.0,2.0,2.75,7.0,Closed Balcony,Available,Euro Renovation,135000.0,Malatia-Sebastia
Monolith,Yes,Available,14,59.0,2.0,1.0,2.7,4.0,Open Balcony,Not Available,Partially Renovated,80000.0,Avan
Panel,No,Available,9,46.0,2.0,1.0,2.75,8.0,Open Balcony,Available,Euro Renovation,80000.0,Arabkir
Panel,No,Available,9,98.0,4.0,1.0,2.8,5.0,Open Balcony,Not Available,Capital Renovated,215000.0,Arabkir
Stone,No,Not Available,5,107.0,3.0,1.0,2.7,3.0,Multiple Balconies,Not Available,Old Renovation,110000.0,Ajapnyak
Stone,No,Available,6,61.0,3.0,2.0,3.0,4.0,Open Balcony,Partially Furnished,Euro Renovation,180000.0,Kentron
Monolith,Yes,Available,16,57.0,2.0,1.0,3.0,7.0,Open Balcony,Not Available,Not Renovated,130000.0,Arabkir
Panel,No,Available,9,76.0,3.0,1.0,2.7,5.0,Closed Balcony,Partially Furnished,Capital Renovated,115000.0,Nor Norq
Panel,No,Available,16,63.0,2.0,2.0,2.75,9.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,85000.0,Ajapnyak
Monolith,Yes,Available,14,97.0,3.0,2.0,3.0,3.0,Open Balcony,Not Available,Capital Renovated,219000.0,Arabkir
Stone,No,Not Available,5,67.0,3.0,1.0,2.8,4.0,Not Available,Not Available,Capital Renovated,155000.0,Qanaqer-Zeytun
Panel,No,Available,9,75.0,3.0,1.0,2.75,7.0,Multiple Balconies,Available,Designer Renovated,120000.0,Malatia-Sebastia
Stone,No,Not Available,5,38.0,1.0,1.0,2.7,5.0,Not Available,Available,Capital Renovated,69000.0,Nor Norq
Panel,No,Available,9,85.0,3.0,1.0,2.8,5.0,Not Available,Available,Capital Renovated,220000.0,Kentron
Stone,No,Not Available,4,50.0,3.0,1.0,3.2,3.0,Open Balcony,Partially Furnished,Designer Renovated,152000.0,Kentron
Panel,No,Available,14,55.0,2.0,1.0,3.0,1.0,Not Available,Available,Designer Renovated,110000.0,Arabkir
Stone,No,Not Available,5,65.0,3.0,2.0,2.7,2.0,Closed Balcony,Available,Capital Renovated,126000.0,Arabkir
Panel,No,Available,9,68.0,2.0,1.0,2.7,8.0,Multiple Balconies,Available,Capital Renovated,92000.0,Shengavit
Monolith,No,Available,14,92.0,3.0,2.0,2.75,13.0,Closed Balcony,Partially Furnished,Capital Renovated,120000.0,Ajapnyak
Panel,No,Available,9,79.0,3.0,1.0,2.75,8.0,Closed Balcony,Partially Furnished,Capital Renovated,105000.0,Malatia-Sebastia
Stone,No,Not Available,5,68.0,3.0,1.0,2.75,5.0,Open Balcony,Partially Furnished,Cosmetic Renovation,110000.0,Arabkir
Stone,No,Not Available,5,86.0,3.0,1.0,3.2,4.0,Open Balcony,Partially Furnished,Old Renovation,130000.0,Arabkir
Stone,No,Not Available,4,71.0,3.0,1.0,3.2,4.0,Open Balcony,Available,Old Renovation,190000.0,Kentron
Monolith,Yes,Available,16,108.0,3.0,2.0,3.0,8.0,Open Balcony,Available,Capital Renovated,280000.0,Arabkir
Panel,No,Available,14,80.0,4.0,2.0,2.75,7.0,Closed Balcony,Available,Capital Renovated,112000.0,Avan
Stone,No,Not Available,4,80.0,3.0,1.0,3.0,4.0,Multiple Balconies,Partially Furnished,Old Renovation,150000.0,Arabkir
Panel,No,Available,16,95.0,3.0,1.0,2.75,13.0,Open Balcony,Partially Furnished,Designer Renovated,127000.0,Nor Norq
Stone,No,Not Available,5,57.0,3.0,1.0,2.75,2.0,Closed Balcony,Available,Capital Renovated,97000.0,Shengavit
Panel,No,Available,9,90.0,4.0,2.0,2.75,3.0,Multiple Balconies,Available,Partially Renovated,95000.0,Malatia-Sebastia
Stone,No,Not Available,5,86.0,4.0,1.0,2.8,4.0,Open Balcony,Partially Furnished,Euro Renovation,115000.0,Avan
Stone,No,Not Available,5,78.0,3.0,1.0,2.8,2.0,Open Balcony,Partially Furnished,Capital Renovated,170000.0,Arabkir
Monolith,Yes,Available,16,54.0,2.0,1.0,3.2,2.0,Not Available,Available,Euro Renovation,125000.0,Qanaqer-Zeytun
Panel,No,Available,16,70.0,3.0,1.0,3.2,1.0,Open Balcony,Partially Furnished,Euro Renovation,115000.0,Davtashen
Stone,No,Not Available,2,55.0,2.0,1.0,2.75,2.0,Not Available,Partially Furnished,Partially Renovated,80000.0,Nor Norq
Stone,No,Not Available,5,70.0,3.0,1.0,2.8,1.0,Open Balcony,Available,Designer Renovated,100000.0,Nor Norq
Panel,No,Available,16,54.0,2.0,1.0,2.75,9.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,60000.0,Ajapnyak
Monolith,Yes,Available,7,51.0,2.0,1.0,3.0,2.0,Not Available,Available,Capital Renovated,115000.0,Arabkir
Panel,No,Available,11,85.0,3.0,1.0,2.75,4.0,Open Balcony,Available,Euro Renovation,189000.0,Kentron
Panel,No,Available,15,77.0,2.0,1.0,2.75,5.0,Closed Balcony,Not Available,Capital Renovated,85000.0,Ajapnyak
Monolith,Yes,Available,12,63.0,2.0,1.0,3.0,2.0,Not Available,Not Available,Capital Renovated,110000.0,Ajapnyak
Monolith,Yes,Available,14,94.0,3.0,2.0,3.0,13.0,Open Balcony,Available,Capital Renovated,275000.0,Arabkir
Stone,No,Not Available,5,41.0,2.0,1.0,2.75,5.0,Not Available,Not Available,Capital Renovated,90000.0,Arabkir
Monolith,Yes,Available,11,90.0,2.0,1.0,3.0,5.0,Open Balcony,Available,Capital Renovated,173000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,77.0,3.0,1.0,2.7,4.0,Closed Balcony,Available,Cosmetic Renovation,89000.0,Nor Norq
Monolith,Yes,Available,16,59.0,2.0,1.0,3.2,13.0,Open Balcony,Available,Designer Renovated,158500.0,Ajapnyak
Stone,No,Not Available,5,80.0,3.0,1.0,2.75,3.0,Closed Balcony,Available,Capital Renovated,90000.0,Avan
Panel,No,Available,9,50.0,2.0,1.0,2.8,6.0,Not Available,Available,Capital Renovated,80000.0,Malatia-Sebastia
Stone,No,Not Available,5,77.0,3.0,1.0,2.75,5.0,Not Available,Available,Old Renovation,125000.0,Arabkir
Panel,No,Available,13,92.0,3.0,2.0,2.8,10.0,Closed Balcony,Partially Furnished,Designer Renovated,165000.0,Arabkir
Stone,No,Not Available,5,51.0,2.0,1.0,2.7,5.0,Open Balcony,Partially Furnished,Designer Renovated,116000.0,Arabkir
Panel,No,Available,9,100.0,3.0,1.0,2.75,9.0,Closed Balcony,Not Available,Partially Renovated,115000.0,Avan
Panel,No,Available,9,75.0,3.0,1.0,2.75,8.0,Multiple Balconies,Available,Capital Renovated,130000.0,Qanaqer-Zeytun
Panel,No,Available,9,67.0,2.0,1.0,2.75,9.0,Multiple Balconies,Not Available,Not Renovated,72000.0,Malatia-Sebastia
Stone,No,Not Available,5,42.0,2.0,1.0,2.5,2.0,Not Available,Partially Furnished,Designer Renovated,116883.12,Arabkir
Stone,No,Not Available,5,34.0,2.0,1.0,2.8,3.0,Not Available,Not Available,Capital Renovated,94000.0,Arabkir
Stone,No,Not Available,5,70.0,2.0,1.0,3.0,2.0,Open Balcony,Available,Euro Renovation,145000.0,Arabkir
Stone,No,Not Available,5,74.0,3.0,1.0,2.75,1.0,Open Balcony,Available,Capital Renovated,150000.0,Arabkir
Monolith,Yes,Available,9,73.0,2.0,1.0,3.2,5.0,Open Balcony,Available,Designer Renovated,185000.0,Arabkir
Stone,No,Not Available,5,72.0,3.0,1.0,3.0,5.0,Open Balcony,Available,Capital Renovated,150000.0,Arabkir
Monolith,Yes,Available,10,108.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Euro Renovation,183000.0,Arabkir
Stone,No,Not Available,5,71.0,3.0,2.0,2.8,5.0,Open Balcony,Not Available,Capital Renovated,129000.0,Arabkir
Panel,No,Available,10,100.0,3.0,2.0,2.8,7.0,Multiple Balconies,Available,Cosmetic Renovation,263000.0,Kentron
Stone,No,Not Available,5,60.0,2.0,1.0,2.7,4.0,Open Balcony,Available,Capital Renovated,87000.0,Nor Norq
Stone,Yes,Available,7,90.0,4.0,2.0,2.7,1.0,Not Available,Available,Capital Renovated,130000.0,Kentron
Stone,No,Not Available,5,81.0,3.0,1.0,2.7,2.0,Not Available,Not Available,Cosmetic Renovation,125000.0,Arabkir
Stone,No,Not Available,3,64.0,2.0,1.0,3.2,2.0,Multiple Balconies,Not Available,Old Renovation,80000.0,Shengavit
Monolith,Yes,Available,10,50.0,2.0,1.0,3.0,7.0,Open Balcony,Partially Furnished,Capital Renovated,100000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,40.0,2.0,1.0,3.0,2.0,Open Balcony,Available,Capital Renovated,145000.0,Arabkir
Monolith,Yes,Available,16,107.0,3.0,2.0,3.0,9.0,Open Balcony,Not Available,Not Renovated,189000.0,Kentron
Panel,No,Available,14,100.0,3.0,1.0,2.8,5.0,Open Balcony,Available,Cosmetic Renovation,168831.17,Arabkir
Panel,No,Available,9,76.0,3.0,1.0,2.7,7.0,Multiple Balconies,Partially Furnished,Capital Renovated,115000.0,Avan
Stone,No,Not Available,5,88.0,3.0,2.0,3.5,4.0,Not Available,Available,Designer Renovated,250000.0,Arabkir
Monolith,Yes,Available,14,76.0,3.0,1.0,3.0,4.0,Open Balcony,Not Available,Not Renovated,160000.0,Arabkir
Stone,No,Available,5,88.0,3.0,1.0,3.0,4.0,Not Available,Available,Euro Renovation,245000.0,Arabkir
Stone,No,Available,7,92.0,3.0,2.0,3.0,1.0,Not Available,Available,Capital Renovated,125000.0,Arabkir
Monolith,Yes,Available,18,39.0,2.0,1.0,3.0,5.0,Not Available,Available,Capital Renovated,218000.0,Kentron
Monolith,Yes,Available,4,50.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Designer Renovated,100000.0,Qanaqer-Zeytun
Panel,No,Available,12,84.0,3.0,1.0,2.8,12.0,Multiple Balconies,Available,Euro Renovation,95000.0,Arabkir
Panel,No,Not Available,9,92.0,3.0,1.0,2.7,7.0,Multiple Balconies,Available,Old Renovation,115000.0,Ajapnyak
Stone,No,Not Available,5,85.0,3.0,1.0,3.2,5.0,Open Balcony,Available,Capital Renovated,170000.0,Arabkir
Stone,No,Not Available,3,76.0,3.0,1.0,3.5,2.0,Multiple Balconies,Available,Old Renovation,114999.0,Arabkir
Stone,No,Not Available,5,87.0,3.0,1.0,3.0,5.0,Multiple Balconies,Available,Euro Renovation,200000.0,Kentron
Panel,No,Available,16,84.0,4.0,2.0,2.7,7.0,Closed Balcony,Not Available,Cosmetic Renovation,125000.0,Arabkir
Panel,No,Available,9,93.0,4.0,1.0,2.7,4.0,Closed Balcony,Partially Furnished,Old Renovation,115000.0,Ajapnyak
Monolith,Yes,Available,15,87.0,3.0,2.0,3.0,12.0,Open Balcony,Not Available,Not Renovated,92000.0,Davtashen
Monolith,Yes,Available,12,53.0,2.0,1.0,2.7,1.0,Not Available,Partially Furnished,Capital Renovated,90000.0,Ajapnyak
Stone,No,Not Available,5,92.0,3.0,1.0,3.2,5.0,Multiple Balconies,Available,Old Renovation,205000.0,Kentron
Stone,No,Not Available,5,56.0,2.0,1.0,3.2,3.0,Open Balcony,Available,Euro Renovation,180000.0,Kentron
Panel,No,Available,9,90.0,4.0,1.0,2.8,7.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,87000.0,Nor Norq
Panel,No,Not Available,14,65.0,3.0,1.0,2.7,14.0,Not Available,Available,Partially Renovated,72727.27,Davtashen
Monolith,No,Available,12,65.0,2.0,2.0,2.75,11.0,Closed Balcony,Available,Old Renovation,80000.0,Ajapnyak
Monolith,Yes,Available,4,97.0,3.0,2.0,3.2,4.0,Multiple Balconies,Not Available,Not Renovated,230000.0,Arabkir
Monolith,Yes,Available,14,44.0,2.0,1.0,3.0,13.0,Open Balcony,Not Available,Not Renovated,90000.0,Qanaqer-Zeytun
Panel,No,Available,9,91.0,3.0,1.0,2.8,3.0,Not Available,Partially Furnished,Partially Renovated,173500.0,Kentron
Stone,No,Not Available,4,85.0,4.0,1.0,2.75,1.0,Multiple Balconies,Available,Euro Renovation,165000.0,Qanaqer-Zeytun
Panel,No,Available,9,54.0,2.0,1.0,2.75,3.0,Closed Balcony,Available,Partially Renovated,92000.0,Arabkir
Panel,No,Available,13,80.0,3.0,1.0,2.7,8.0,Multiple Balconies,Not Available,Old Renovation,105000.0,Qanaqer-Zeytun
Panel,No,Available,9,92.0,4.0,1.0,2.8,9.0,Multiple Balconies,Not Available,Old Renovation,80000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,45.0,1.0,1.0,2.75,5.0,Closed Balcony,Partially Furnished,Capital Renovated,88000.0,Arabkir
Stone,No,Not Available,5,59.0,2.0,1.0,2.75,5.0,Closed Balcony,Available,Partially Renovated,69000.0,Nor Norq
Stone,No,Not Available,4,87.0,3.0,1.0,3.0,3.0,Multiple Balconies,Available,Partially Renovated,168000.0,Arabkir
Stone,No,Available,5,80.0,3.0,1.0,2.6,5.0,Multiple Balconies,Not Available,Old Renovation,90000.0,Ajapnyak
Stone,No,Available,1,71.0,2.0,2.0,3.0,1.0,Not Available,Available,Designer Renovated,128000.0,Arabkir
Panel,No,Available,9,54.0,1.0,1.0,2.8,3.0,Closed Balcony,Available,Cosmetic Renovation,92000.0,Arabkir
Stone,No,Not Available,5,115.0,4.0,2.0,2.6,3.0,Open Balcony,Available,Capital Renovated,180000.0,Arabkir
Monolith,Yes,Available,12,56.0,2.0,1.0,3.0,2.0,Not Available,Available,Not Renovated,115000.0,Arabkir
Panel,No,Available,9,76.0,3.0,1.0,2.6,8.0,Open Balcony,Available,Capital Renovated,123000.0,Davtashen
Monolith,Yes,Available,12,60.0,2.0,1.0,3.0,8.0,Open Balcony,Available,Capital Renovated,145000.0,Arabkir
Panel,No,Available,9,43.0,1.0,1.0,2.8,1.0,Closed Balcony,Not Available,Capital Renovated,66500.0,Nor Norq
Monolith,Yes,Available,14,111.0,4.0,2.0,3.0,6.0,Open Balcony,Partially Furnished,Capital Renovated,270000.0,Davtashen
Monolith,Yes,Available,8,100.0,3.0,2.0,3.2,8.0,Open Balcony,Not Available,Not Renovated,228000.0,Arabkir
Stone,No,Not Available,5,92.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Cosmetic Renovation,250000.0,Kentron
Monolith,Yes,Available,16,96.0,4.0,2.0,3.0,2.0,Open Balcony,Not Available,Not Renovated,160000.0,Arabkir
Panel,No,Available,14,85.0,3.0,2.0,2.75,3.0,Closed Balcony,Available,Euro Renovation,102000.0,Malatia-Sebastia
Panel,No,Available,9,76.0,3.0,1.0,2.75,3.0,Open Balcony,Available,Capital Renovated,135000.0,Davtashen
Stone,No,Not Available,5,104.0,3.0,1.0,2.75,5.0,Open Balcony,Available,Cosmetic Renovation,130000.0,Ajapnyak
Panel,No,Available,16,100.0,3.0,2.0,2.75,13.0,Multiple Balconies,Not Available,Designer Renovated,145000.0,Arabkir
Stone,No,Available,5,68.0,2.0,2.0,2.8,4.0,Open Balcony,Available,Euro Renovation,123000.0,Arabkir
Monolith,Yes,Available,16,97.0,4.0,2.0,2.8,11.0,Open Balcony,Available,Euro Renovation,179000.0,Nor Norq
Monolith,Yes,Not Available,3,120.0,4.0,2.0,3.0,3.0,Open Balcony,Available,Capital Renovated,270000.0,Qanaqer-Zeytun
Panel,No,Available,9,75.0,3.0,2.0,2.75,9.0,Closed Balcony,Not Available,Partially Renovated,80000.0,Malatia-Sebastia
Panel,No,Available,16,42.0,2.0,1.0,2.75,2.0,Not Available,Available,Euro Renovation,73000.0,Arabkir
Panel,No,Available,9,91.0,4.0,1.0,2.75,5.0,Open Balcony,Not Available,Capital Renovated,215000.0,Arabkir
Monolith,Yes,Available,14,84.0,2.0,2.0,3.0,7.0,Not Available,Not Available,Not Renovated,230000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,110.0,4.0,2.0,2.7,5.0,Multiple Balconies,Partially Furnished,Old Renovation,120000.0,Arabkir
Stone,No,Not Available,4,72.0,3.0,1.0,2.6,4.0,Closed Balcony,Not Available,Old Renovation,65000.0,Ajapnyak
Monolith,Yes,Available,16,130.0,3.0,2.0,3.0,11.0,Open Balcony,Not Available,Not Renovated,253000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,74.0,2.0,1.0,2.7,5.0,Multiple Balconies,Available,Cosmetic Renovation,109000.0,Arabkir
Stone,No,Not Available,4,75.0,3.0,1.0,2.7,3.0,Closed Balcony,Available,Old Renovation,94500.0,Ajapnyak
Stone,No,Not Available,5,74.0,2.0,1.0,2.8,5.0,Closed Balcony,Available,Designer Renovated,115000.0,Arabkir
Stone,No,Not Available,5,48.0,2.0,1.0,3.0,1.0,Closed Balcony,Partially Furnished,Euro Renovation,84000.0,Arabkir
Monolith,Yes,Available,8,73.0,2.0,1.0,3.2,3.0,Open Balcony,Available,Designer Renovated,170000.0,Avan
Monolith,No,Available,14,68.0,2.0,1.0,2.75,9.0,Closed Balcony,Available,Euro Renovation,90000.0,Malatia-Sebastia
Stone,No,Not Available,5,72.0,3.0,1.0,2.75,2.0,Not Available,Available,Capital Renovated,180000.0,Arabkir
Panel,No,Available,7,76.0,2.0,1.0,2.8,5.0,Multiple Balconies,Available,Euro Renovation,145000.0,Kentron
Panel,No,Available,12,63.0,2.0,1.0,2.8,3.0,Open Balcony,Partially Furnished,Old Renovation,91000.0,Qanaqer-Zeytun
Monolith,No,Available,14,91.0,3.0,1.0,2.75,11.0,Multiple Balconies,Available,Euro Renovation,128000.0,Malatia-Sebastia
Panel,No,Available,9,99.0,4.0,1.0,2.75,4.0,Open Balcony,Not Available,Old Renovation,119000.0,Ajapnyak
Stone,No,Not Available,5,45.0,1.0,1.0,2.7,4.0,Closed Balcony,Available,Partially Renovated,79000.0,Arabkir
Monolith,Yes,Not Available,3,78.0,3.0,2.0,3.0,3.0,Open Balcony,Partially Furnished,Capital Renovated,130000.0,Arabkir
Monolith,Yes,Available,14,52.0,2.0,1.0,3.2,10.0,Open Balcony,Not Available,Not Renovated,115000.0,Arabkir
Stone,No,Not Available,5,65.0,3.0,1.0,3.0,1.0,Not Available,Available,Euro Renovation,170000.0,Kentron
Panel,No,Available,14,82.0,3.0,2.0,2.75,7.0,Closed Balcony,Not Available,Old Renovation,128500.0,Arabkir
Stone,No,Not Available,5,83.0,2.0,2.0,2.75,2.0,Closed Balcony,Not Available,Old Renovation,84000.0,Ajapnyak
Monolith,Yes,Available,8,46.0,2.0,1.0,3.0,8.0,Open Balcony,Available,Capital Renovated,98000.0,Arabkir
Stone,No,Not Available,5,76.0,3.0,1.0,2.7,5.0,Not Available,Available,Capital Renovated,90000.0,Shengavit
Monolith,Yes,Available,16,92.0,3.0,2.0,3.2,8.0,Open Balcony,Not Available,Not Renovated,166000.0,Kentron
Stone,No,Not Available,5,80.0,4.0,2.0,2.75,4.0,Multiple Balconies,Available,Capital Renovated,160000.0,Arabkir
Stone,No,Not Available,4,38.0,1.0,1.0,3.2,4.0,Open Balcony,Available,Capital Renovated,135000.0,Kentron
Stone,No,Not Available,5,101.0,4.0,2.0,2.75,4.0,Open Balcony,Available,Partially Renovated,115000.0,Qanaqer-Zeytun
Stone,No,Not Available,3,48.0,1.0,1.0,3.0,3.0,Closed Balcony,Available,Old Renovation,60000.0,Shengavit
Panel,No,Available,9,80.0,3.0,2.0,2.75,6.0,Closed Balcony,Partially Furnished,Euro Renovation,95000.0,Malatia-Sebastia
Monolith,Yes,Available,5,103.0,3.0,2.0,2.8,3.0,Multiple Balconies,Available,Capital Renovated,235000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,48.0,1.0,2.0,3.0,2.0,Closed Balcony,Not Available,Designer Renovated,108000.0,Kentron
Stone,No,Not Available,5,69.0,3.0,1.0,2.7,5.0,Open Balcony,Not Available,Designer Renovated,134000.0,Arabkir
Stone,No,Not Available,5,84.0,3.0,1.0,2.75,4.0,Open Balcony,Available,Cosmetic Renovation,125000.0,Arabkir
