Building Type,New Building,Elevator,Number of Floors,Total Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Price,District
Panel,No,Available,9,93.0,3.0,1.0,2.8,4.0,Closed Balcony,Partially Furnished,Old Renovation,96103.9,Malatia-Sebastia
Monolith,Yes,Available,11,45.0,1.0,1.0,3.0,10.0,Not Available,Available,Euro Renovation,68000.0,Qanaqer-Zeytun
Monolith,Yes,Available,8,84.0,3.0,1.0,3.0,5.0,Open Balcony,Not Available,Not Renovated,170000.0,Arabkir
Panel,No,Available,14,83.0,3.0,1.0,2.75,2.0,Multiple Balconies,Partially Furnished,Cosmetic Renovation,120000.0,Davtashen
Stone,No,Available,8,92.0,4.0,2.0,2.8,6.0,Open Balcony,Available,Euro Renovation,230000.0,Kentron
Stone,No,Not Available,5,72.0,2.0,2.0,3.0,4.0,Closed Balcony,Available,Old Renovation,134000.0,Arabkir
Stone,No,Not Available,5,53.0,2.0,1.0,2.7,2.0,Closed Balcony,Partially Furnished,Partially Renovated,145000.0,Arabkir
Monolith,Yes,Available,17,68.0,2.0,1.0,3.2,12.0,Open Balcony,Not Available,Not Renovated,142000.0,Arabkir
Monolith,Yes,Available,10,113.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Euro Renovation,180000.0,Arabkir
Monolith,Yes,Available,14,59.0,2.0,1.0,3.0,9.0,Open Balcony,Available,Euro Renovation,143000.0,Arabkir
Stone,No,Available,7,75.0,2.0,2.0,3.0,6.0,Open Balcony,Available,Capital Renovated,138000.0,Arabkir
Stone,No,Not Available,5,100.0,3.0,1.0,2.8,4.0,Closed Balcony,Available,Cosmetic Renovation,137000.0,Arabkir
Panel,No,Available,9,67.0,2.0,1.0,2.75,7.0,Not Available,Available,Old Renovation,82000.0,Nor Norq
Monolith,Yes,Available,14,84.0,3.0,1.0,3.0,7.0,Closed Balcony,Available,Capital Renovated,204900.0,Kentron
Panel,No,Available,9,62.0,2.0,1.0,2.8,4.0,Closed Balcony,Available,Designer Renovated,123000.0,Arabkir
Stone,No,Not Available,4,60.0,2.0,1.0,3.0,2.0,Not Available,Not Available,Cosmetic Renovation,160000.0,Kentron
Stone,No,Not Available,5,57.0,2.0,1.0,2.75,3.0,Open Balcony,Not Available,Capital Renovated,118000.0,Arabkir
Monolith,Yes,Available,13,86.0,3.0,1.0,3.0,10.0,Open Balcony,Not Available,Not Renovated,158000.0,Qanaqer-Zeytun
Monolith,Yes,Available,6,50.0,2.0,1.0,3.0,2.0,Open Balcony,Available,Capital Renovated,175000.0,Arabkir
Monolith,Yes,Available,15,54.0,3.0,1.0,3.0,3.0,Not Available,Available,Designer Renovated,140000.0,Ajapnyak
Panel,No,Available,9,74.0,3.0,2.0,2.8,5.0,Not Available,Available,Capital Renovated,189000.0,Kentron
Panel,No,Available,14,53.0,2.0,1.0,2.7,11.0,Not Available,Partially Furnished,Not Renovated,100000.0,Arabkir
Monolith,Yes,Available,16,98.0,3.0,1.0,3.0,4.0,Multiple Balconies,Not Available,Partially Renovated,150000.0,Qanaqer-Zeytun
Monolith,No,Available,10,52.0,2.0,1.0,2.8,9.0,Closed Balcony,Available,Euro Renovation,115000.0,Arabkir
Monolith,No,Available,14,76.0,3.0,1.0,2.8,6.0,Open Balcony,Available,Capital Renovated,103000.0,Ajapnyak
Stone,No,Not Available,5,58.0,3.0,1.0,2.8,5.0,Closed Balcony,Available,Euro Renovation,74500.0,Erebuni
Monolith,Yes,Available,9,45.0,2.0,1.0,3.0,2.0,Closed Balcony,Available,Designer Renovated,117000.0,Arabkir
Monolith,Yes,Available,6,40.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,75000.0,Nor Norq
Stone,No,Not Available,5,72.0,3.0,1.0,2.6,3.0,Closed Balcony,Available,Old Renovation,115000.0,Arabkir
Monolith,Yes,Available,16,93.0,2.0,1.0,3.0,6.0,Open Balcony,Available,Euro Renovation,275000.0,Kentron
Panel,No,Available,14,52.0,2.0,1.0,2.8,8.0,Not Available,Partially Furnished,Designer Renovated,78000.0,Avan
Panel,No,Available,9,43.0,2.0,1.0,2.75,7.0,Open Balcony,Available,Euro Renovation,102000.0,Kentron
Stone,No,Not Available,4,36.0,3.0,1.0,3.0,3.0,Not Available,Available,Euro Renovation,91000.0,Shengavit
Monolith,Yes,Available,18,110.0,3.0,2.0,3.0,2.0,Multiple Balconies,Not Available,Not Renovated,155000.0,Davtashen
Stone,No,Not Available,4,62.0,2.0,2.0,3.0,3.0,Open Balcony,Not Available,Old Renovation,118000.0,Arabkir
Stone,No,Not Available,5,88.0,3.0,2.0,3.5,3.0,Closed Balcony,Available,Old Renovation,163000.0,Arabkir
Stone,No,Not Available,5,68.0,2.0,2.0,3.0,2.0,Closed Balcony,Available,Capital Renovated,120000.0,Arabkir
Monolith,Yes,Available,17,70.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Euro Renovation,175000.0,Kentron
Monolith,Yes,Available,18,71.0,2.0,1.0,3.0,9.0,Open Balcony,Not Available,Not Renovated,102000.0,Davtashen
Monolith,Yes,Available,16,116.0,3.0,2.0,3.0,11.0,Open Balcony,Available,Euro Renovation,275000.0,Kentron
